"name","score","rank","gdp","gdppc"
"Trinidad and Tobago",61.2,87,44.3,32636
"Tunisia",55.7,123,127,11428
"Turkey",65.2,60,1588.8,20438
"Turkmenistan",47.4,170,88.6,16445
"Uganda",60.9,91,79.9,2003
"Ukraine",48.1,166,339.5,7971
"United Arab Emirates",76.9,8,647.8,67617
"United Kingdom",76.4,12,2679.3,41159
"United States",75.1,17,17947,55805
"Uruguay",69.7,38,73.5,21507
"Uzbekistan",52.3,148,187.9,6068
"Vanuatu",67.4,52,0.7,2550
"Venezuela",27,179,515.7,16673
"Vietnam",52.4,147,552.3,6024
"Zambia",55.8,122,62.7,3868
"Zimbabwe",44,175,28.1,2096
